date,division,index,description
1/1/2021,2,174,Alcoholic Beverages & Tobacco
2/1/2021,2,174,Alcoholic Beverages & Tobacco
3/1/2021,2,174.1,Alcoholic Beverages & Tobacco
4/1/2021,2,174.2,Alcoholic Beverages & Tobacco
5/1/2021,2,174.2,Alcoholic Beverages & Tobacco
6/1/2021,2,174.2,Alcoholic Beverages & Tobacco
7/1/2021,2,174.2,Alcoholic Beverages & Tobacco
8/1/2021,2,174.2,Alcoholic Beverages & Tobacco
9/1/2021,2,174.2,Alcoholic Beverages & Tobacco
10/1/2021,2,174.2,Alcoholic Beverages & Tobacco
11/1/2021,2,174.3,Alcoholic Beverages & Tobacco
12/1/2021,2,174.3,Alcoholic Beverages & Tobacco
1/1/2022,2,174.3,Alcoholic Beverages & Tobacco
2/1/2022,2,174.4,Alcoholic Beverages & Tobacco
3/1/2022,2,174.5,Alcoholic Beverages & Tobacco
4/1/2022,2,174.5,Alcoholic Beverages & Tobacco
5/1/2022,2,174.5,Alcoholic Beverages & Tobacco
6/1/2022,2,174.5,Alcoholic Beverages & Tobacco
7/1/2022,2,174.6,Alcoholic Beverages & Tobacco
8/1/2022,2,174.7,Alcoholic Beverages & Tobacco
9/1/2022,2,174.7,Alcoholic Beverages & Tobacco
10/1/2022,2,174.8,Alcoholic Beverages & Tobacco
11/1/2022,2,175,Alcoholic Beverages & Tobacco
12/1/2022,2,174.9,Alcoholic Beverages & Tobacco
1/1/2023,2,175,Alcoholic Beverages & Tobacco
2/1/2023,2,175,Alcoholic Beverages & Tobacco
3/1/2023,2,175.1,Alcoholic Beverages & Tobacco
4/1/2023,2,175.1,Alcoholic Beverages & Tobacco
5/1/2023,2,175.1,Alcoholic Beverages & Tobacco
6/1/2023,2,175.1,Alcoholic Beverages & Tobacco
7/1/2023,2,175.2,Alcoholic Beverages & Tobacco
8/1/2023,2,175.2,Alcoholic Beverages & Tobacco
9/1/2023,2,175.8,Alcoholic Beverages & Tobacco
10/1/2023,2,175.8,Alcoholic Beverages & Tobacco
11/1/2023,2,175.8,Alcoholic Beverages & Tobacco
12/1/2023,2,175.7,Alcoholic Beverages & Tobacco
1/1/2024,2,175.6,Alcoholic Beverages & Tobacco
2/1/2024,2,175.6,Alcoholic Beverages & Tobacco
3/1/2024,2,175.8,Alcoholic Beverages & Tobacco
4/1/2024,2,175.9,Alcoholic Beverages & Tobacco
5/1/2024,2,176.2,Alcoholic Beverages & Tobacco
6/1/2024,2,176.3,Alcoholic Beverages & Tobacco
7/1/2024,2,176.6,Alcoholic Beverages & Tobacco
8/1/2024,2,176.7,Alcoholic Beverages & Tobacco
9/1/2024,2,176.8,Alcoholic Beverages & Tobacco
10/1/2024,2,176.9,Alcoholic Beverages & Tobacco
11/1/2024,2,176.9,Alcoholic Beverages & Tobacco
12/1/2024,2,176.6,Alcoholic Beverages & Tobacco
1/1/2025,2,176.6,Alcoholic Beverages & Tobacco
2/1/2025,2,176.6,Alcoholic Beverages & Tobacco
3/1/2025,2,176.6,Alcoholic Beverages & Tobacco
4/1/2025,2,176.6,Alcoholic Beverages & Tobacco
5/1/2025,2,176.7,Alcoholic Beverages & Tobacco
6/1/2025,2,176.7,Alcoholic Beverages & Tobacco
7/1/2025,2,176.9,Alcoholic Beverages & Tobacco
8/1/2025,2,176.9,Alcoholic Beverages & Tobacco
9/1/2025,2,176.9,Alcoholic Beverages & Tobacco
10/1/2025,2,176.9,Alcoholic Beverages & Tobacco
11/1/2025,2,181.5,Alcoholic Beverages & Tobacco
12/1/2025,2,181.7,Alcoholic Beverages & Tobacco
1/1/2026,2,181.7,Alcoholic Beverages & Tobacco
2/1/2026,2,181.8,Alcoholic Beverages & Tobacco
3/1/2026,2,182,Alcoholic Beverages & Tobacco
1/1/2020,3,94.7,Clothing & Footwear
2/1/2020,3,94.7,Clothing & Footwear
3/1/2020,3,94.7,Clothing & Footwear
4/1/2020,3,94.7,Clothing & Footwear
5/1/2020,3,94.7,Clothing & Footwear
6/1/2020,3,94.6,Clothing & Footwear
7/1/2020,3,94.6,Clothing & Footwear
8/1/2020,3,94.6,Clothing & Footwear
9/1/2020,3,94.5,Clothing & Footwear
10/1/2020,3,94.5,Clothing & Footwear
11/1/2020,3,94.5,Clothing & Footwear
12/1/2020,3,94.4,Clothing & Footwear
1/1/2021,3,94.4,Clothing & Footwear
2/1/2021,3,94.4,Clothing & Footwear
3/1/2021,3,94.4,Clothing & Footwear
4/1/2021,3,94.3,Clothing & Footwear
5/1/2021,3,94.2,Clothing & Footwear
6/1/2021,3,94.2,Clothing & Footwear
7/1/2021,3,94.2,Clothing & Footwear
8/1/2021,3,94.2,Clothing & Footwear
9/1/2021,3,94.2,Clothing & Footwear
10/1/2021,3,94.1,Clothing & Footwear
11/1/2021,3,94.1,Clothing & Footwear
12/1/2021,3,94.1,Clothing & Footwear
1/1/2022,3,94.2,Clothing & Footwear
2/1/2022,3,94.2,Clothing & Footwear
3/1/2022,3,94.2,Clothing & Footwear
4/1/2022,3,94.2,Clothing & Footwear
5/1/2022,3,94.3,Clothing & Footwear
6/1/2022,3,94.4,Clothing & Footwear
7/1/2022,3,94.5,Clothing & Footwear
8/1/2022,3,94.6,Clothing & Footwear
9/1/2022,3,94.6,Clothing & Footwear
10/1/2022,3,94.6,Clothing & Footwear
11/1/2022,3,94.6,Clothing & Footwear
12/1/2022,3,94.6,Clothing & Footwear
1/1/2023,3,94.7,Clothing & Footwear
2/1/2023,3,94.8,Clothing & Footwear
3/1/2023,3,94.8,Clothing & Footwear
4/1/2023,3,94.7,Clothing & Footwear
5/1/2023,3,94.7,Clothing & Footwear
6/1/2023,3,94.7,Clothing & Footwear
7/1/2023,3,94.7,Clothing & Footwear
8/1/2023,3,94.7,Clothing & Footwear
9/1/2023,3,94.7,Clothing & Footwear
10/1/2023,3,94.7,Clothing & Footwear
11/1/2023,3,94.7,Clothing & Footwear
12/1/2023,3,94.7,Clothing & Footwear
1/1/2024,3,94.7,Clothing & Footwear
2/1/2024,3,94.6,Clothing & Footwear
3/1/2024,3,94.7,Clothing & Footwear
4/1/2024,3,94.6,Clothing & Footwear
5/1/2024,3,94.7,Clothing & Footwear
6/1/2024,3,94.7,Clothing & Footwear
7/1/2024,3,94.7,Clothing & Footwear
8/1/2024,3,94.6,Clothing & Footwear
9/1/2024,3,94.6,Clothing & Footwear
10/1/2024,3,94.5,Clothing & Footwear
11/1/2024,3,94.4,Clothing & Footwear
12/1/2024,3,94.2,Clothing & Footwear
1/1/2025,3,94.3,Clothing & Footwear
2/1/2025,3,94.3,Clothing & Footwear
3/1/2025,3,94.3,Clothing & Footwear
4/1/2025,3,94.3,Clothing & Footwear
5/1/2025,3,94.3,Clothing & Footwear
6/1/2025,3,94.3,Clothing & Footwear
7/1/2025,3,94.3,Clothing & Footwear
8/1/2025,3,94.2,Clothing & Footwear
9/1/2025,3,94.1,Clothing & Footwear
10/1/2025,3,94,Clothing & Footwear
11/1/2025,3,94.1,Clothing & Footwear
12/1/2025,3,94,Clothing & Footwear
1/1/2026,3,94.1,Clothing & Footwear
2/1/2026,3,94.1,Clothing & Footwear
3/1/2026,3,94,Clothing & Footwear
1/1/2020,4,119.9,"Housing, Water, Electricity, Gas & Other Fuels"
2/1/2020,4,120.3,"Housing, Water, Electricity, Gas & Other Fuels"
3/1/2020,4,120.3,"Housing, Water, Electricity, Gas & Other Fuels"
4/1/2020,4,115.9,"Housing, Water, Electricity, Gas & Other Fuels"
5/1/2020,4,115.9,"Housing, Water, Electricity, Gas & Other Fuels"
6/1/2020,4,115.9,"Housing, Water, Electricity, Gas & Other Fuels"
7/1/2020,4,115.9,"Housing, Water, Electricity, Gas & Other Fuels"
8/1/2020,4,116,"Housing, Water, Electricity, Gas & Other Fuels"
9/1/2020,4,116,"Housing, Water, Electricity, Gas & Other Fuels"
10/1/2020,4,116,"Housing, Water, Electricity, Gas & Other Fuels"
11/1/2020,4,116.1,"Housing, Water, Electricity, Gas & Other Fuels"
12/1/2020,4,116.1,"Housing, Water, Electricity, Gas & Other Fuels"
1/1/2021,4,118.7,"Housing, Water, Electricity, Gas & Other Fuels"
2/1/2021,4,118.9,"Housing, Water, Electricity, Gas & Other Fuels"
3/1/2021,4,118.9,"Housing, Water, Electricity, Gas & Other Fuels"
4/1/2021,4,118.9,"Housing, Water, Electricity, Gas & Other Fuels"
5/1/2021,4,119,"Housing, Water, Electricity, Gas & Other Fuels"
6/1/2021,4,119,"Housing, Water, Electricity, Gas & Other Fuels"
7/1/2021,4,116.3,"Housing, Water, Electricity, Gas & Other Fuels"
8/1/2021,4,116.3,"Housing, Water, Electricity, Gas & Other Fuels"
9/1/2021,4,116.3,"Housing, Water, Electricity, Gas & Other Fuels"
10/1/2021,4,119.1,"Housing, Water, Electricity, Gas & Other Fuels"
11/1/2021,4,119.3,"Housing, Water, Electricity, Gas & Other Fuels"
12/1/2021,4,119.3,"Housing, Water, Electricity, Gas & Other Fuels"
1/1/2022,4,119.3,"Housing, Water, Electricity, Gas & Other Fuels"
2/1/2022,4,119.6,"Housing, Water, Electricity, Gas & Other Fuels"
3/1/2022,4,119.6,"Housing, Water, Electricity, Gas & Other Fuels"
4/1/2022,4,119.6,"Housing, Water, Electricity, Gas & Other Fuels"
5/1/2022,4,120.1,"Housing, Water, Electricity, Gas & Other Fuels"
6/1/2022,4,120.1,"Housing, Water, Electricity, Gas & Other Fuels"
7/1/2022,4,120.1,"Housing, Water, Electricity, Gas & Other Fuels"
8/1/2022,4,120.6,"Housing, Water, Electricity, Gas & Other Fuels"
9/1/2022,4,120.6,"Housing, Water, Electricity, Gas & Other Fuels"
10/1/2022,4,120.6,"Housing, Water, Electricity, Gas & Other Fuels"
11/1/2022,4,120.9,"Housing, Water, Electricity, Gas & Other Fuels"
12/1/2022,4,120.9,"Housing, Water, Electricity, Gas & Other Fuels"
1/1/2023,4,120.9,"Housing, Water, Electricity, Gas & Other Fuels"
2/1/2023,4,121.6,"Housing, Water, Electricity, Gas & Other Fuels"
3/1/2023,4,121.6,"Housing, Water, Electricity, Gas & Other Fuels"
4/1/2023,4,121.6,"Housing, Water, Electricity, Gas & Other Fuels"
5/1/2023,4,122.6,"Housing, Water, Electricity, Gas & Other Fuels"
6/1/2023,4,122.6,"Housing, Water, Electricity, Gas & Other Fuels"
7/1/2023,4,122.6,"Housing, Water, Electricity, Gas & Other Fuels"
8/1/2023,4,123,"Housing, Water, Electricity, Gas & Other Fuels"
9/1/2023,4,123,"Housing, Water, Electricity, Gas & Other Fuels"
10/1/2023,4,123,"Housing, Water, Electricity, Gas & Other Fuels"
11/1/2023,4,123.4,"Housing, Water, Electricity, Gas & Other Fuels"
12/1/2023,4,123.4,"Housing, Water, Electricity, Gas & Other Fuels"
1/1/2024,4,123.6,"Housing, Water, Electricity, Gas & Other Fuels"
2/1/2024,4,125.1,"Housing, Water, Electricity, Gas & Other Fuels"
3/1/2024,4,125.7,"Housing, Water, Electricity, Gas & Other Fuels"
4/1/2024,4,125.7,"Housing, Water, Electricity, Gas & Other Fuels"
5/1/2024,4,126.5,"Housing, Water, Electricity, Gas & Other Fuels"
6/1/2024,4,126.5,"Housing, Water, Electricity, Gas & Other Fuels"
7/1/2024,4,126.5,"Housing, Water, Electricity, Gas & Other Fuels"
8/1/2024,4,126.6,"Housing, Water, Electricity, Gas & Other Fuels"
9/1/2024,4,126.7,"Housing, Water, Electricity, Gas & Other Fuels"
10/1/2024,4,126.7,"Housing, Water, Electricity, Gas & Other Fuels"
