state,date,division,index
Kelantan,3/1/2020,overall,119.5
Kelantan,4/1/2020,overall,115.9
Kelantan,5/1/2020,overall,116.2
Kelantan,6/1/2020,overall,117.9
Kelantan,7/1/2020,overall,118.9
Kelantan,8/1/2020,overall,118.9
Kelantan,9/1/2020,overall,118.8
Kelantan,10/1/2020,overall,118.8
Kelantan,11/1/2020,overall,118.6
Kelantan,12/1/2020,overall,119.6
Kelantan,1/1/2021,overall,121.4
Kelantan,2/1/2021,overall,121.9
Kelantan,3/1/2021,overall,122.2
Kelantan,4/1/2021,overall,122.5
Kelantan,5/1/2021,overall,122.7
Kelantan,6/1/2021,overall,122.7
Kelantan,7/1/2021,overall,121.8
Kelantan,8/1/2021,overall,121.8
Kelantan,9/1/2021,overall,122.1
Kelantan,10/1/2021,overall,123.1
Kelantan,11/1/2021,overall,123.4
Kelantan,12/1/2021,overall,124.1
Kelantan,1/1/2022,overall,124.3
Kelantan,2/1/2022,overall,124.5
Kelantan,3/1/2022,overall,124.8
Kelantan,4/1/2022,overall,125
Kelantan,5/1/2022,overall,125.6
Kelantan,6/1/2022,overall,126.2
Kelantan,7/1/2022,overall,126.4
Kelantan,8/1/2022,overall,126.3
Kelantan,9/1/2022,overall,126.5
Kelantan,10/1/2022,overall,126.7
Kelantan,11/1/2022,overall,127
Kelantan,12/1/2022,overall,127.2
Kelantan,1/1/2023,overall,127.4
Kelantan,2/1/2023,overall,127.6
Kelantan,3/1/2023,overall,127.8
Kelantan,4/1/2023,overall,127.9
Kelantan,5/1/2023,overall,127.9
Kelantan,6/1/2023,overall,128
Kelantan,7/1/2023,overall,128.2
Kelantan,8/1/2023,overall,128.2
Kelantan,9/1/2023,overall,128.2
Kelantan,10/1/2023,overall,128.3
Kelantan,11/1/2023,overall,128.1
Kelantan,12/1/2023,overall,128.4
Kelantan,1/1/2024,overall,128.6
Kelantan,2/1/2024,overall,129.2
Kelantan,3/1/2024,overall,129.2
Kelantan,4/1/2024,overall,129.2
Kelantan,5/1/2024,overall,129.4
Kelantan,6/1/2024,overall,129.6
Kelantan,7/1/2024,overall,129.5
Kelantan,8/1/2024,overall,129.4
Kelantan,9/1/2024,overall,129.3
Kelantan,10/1/2024,overall,129.5
Kelantan,11/1/2024,overall,129.3
Kelantan,12/1/2024,overall,129.3
Kelantan,1/1/2025,overall,129.6
Kelantan,2/1/2025,overall,129.8
Kelantan,3/1/2025,overall,129.8
Kelantan,4/1/2025,overall,129.9
Kelantan,5/1/2025,overall,129.8
Kelantan,6/1/2025,overall,129.8
Kelantan,7/1/2025,overall,129.5
Kelantan,8/1/2025,overall,129.5
Kelantan,9/1/2025,overall,130
Kelantan,10/1/2025,overall,129.6
Kelantan,11/1/2025,overall,129.6
Kelantan,12/1/2025,overall,129.9
Kelantan,1/1/2026,overall,130
Kelantan,2/1/2026,overall,130.1
Kelantan,3/1/2026,overall,130.7
Melaka,1/1/2020,overall,120.8
Melaka,2/1/2020,overall,120.6
Melaka,3/1/2020,overall,119.1
Melaka,4/1/2020,overall,115.7
Melaka,5/1/2020,overall,116
Melaka,6/1/2020,overall,117.1
Melaka,7/1/2020,overall,117.8
Melaka,8/1/2020,overall,117.9
Melaka,9/1/2020,overall,117.9
Melaka,10/1/2020,overall,117.9
Melaka,11/1/2020,overall,117.7
Melaka,12/1/2020,overall,118.4
Melaka,1/1/2021,overall,120.1
Melaka,2/1/2021,overall,120.3
Melaka,3/1/2021,overall,120.6
Melaka,4/1/2021,overall,120.8
Melaka,5/1/2021,overall,120.8
Melaka,6/1/2021,overall,120.9
Melaka,7/1/2021,overall,120.2
Melaka,8/1/2021,overall,120.2
Melaka,9/1/2021,overall,120.6
Melaka,10/1/2021,overall,121.6
Melaka,11/1/2021,overall,122
Melaka,12/1/2021,overall,122.2
Melaka,1/1/2022,overall,122.5
Melaka,2/1/2022,overall,122.7
Melaka,3/1/2022,overall,122.9
Melaka,4/1/2022,overall,123
Melaka,5/1/2022,overall,123.3
Melaka,6/1/2022,overall,123.9
Melaka,7/1/2022,overall,124.6
Melaka,8/1/2022,overall,124.8
Melaka,9/1/2022,overall,125.1
Melaka,10/1/2022,overall,125.5
Melaka,11/1/2022,overall,125.8
Melaka,12/1/2022,overall,126.2
Melaka,1/1/2023,overall,126.5
Melaka,2/1/2023,overall,126.7
Melaka,3/1/2023,overall,126.8
Melaka,4/1/2023,overall,127
Melaka,5/1/2023,overall,127.1
Melaka,6/1/2023,overall,127.2
Melaka,7/1/2023,overall,127.3
Melaka,8/1/2023,overall,127.4
Melaka,9/1/2023,overall,127.4
Melaka,10/1/2023,overall,127.5
Melaka,11/1/2023,overall,127.4
Melaka,12/1/2023,overall,127.6
Melaka,1/1/2024,overall,127.8
Melaka,2/1/2024,overall,128.3
Melaka,3/1/2024,overall,128.2
Melaka,4/1/2024,overall,128.4
Melaka,5/1/2024,overall,128.7
Melaka,6/1/2024,overall,128.9
Melaka,7/1/2024,overall,129.1
Melaka,8/1/2024,overall,129.2
Melaka,9/1/2024,overall,129.1
Melaka,10/1/2024,overall,129.5
Melaka,11/1/2024,overall,129.4
Melaka,12/1/2024,overall,129.7
Melaka,1/1/2025,overall,130
Melaka,2/1/2025,overall,130.4
Melaka,3/1/2025,overall,130.3
Melaka,4/1/2025,overall,130.4
Melaka,5/1/2025,overall,130.6
Melaka,6/1/2025,overall,130.6
Melaka,7/1/2025,overall,130.8
Melaka,8/1/2025,overall,130.9
Melaka,9/1/2025,overall,131.4
Melaka,10/1/2025,overall,131.3
Melaka,11/1/2025,overall,131.1
Melaka,12/1/2025,overall,131.5
Melaka,1/1/2026,overall,131.8
Melaka,2/1/2026,overall,132.2
Melaka,3/1/2026,overall,132.4
Negeri Sembilan,1/1/2020,overall,123.4
Negeri Sembilan,2/1/2020,overall,123.3
Negeri Sembilan,3/1/2020,overall,121.4
Negeri Sembilan,4/1/2020,overall,117.7
Negeri Sembilan,5/1/2020,overall,118
Negeri Sembilan,6/1/2020,overall,119.4
Negeri Sembilan,7/1/2020,overall,120.3
Negeri Sembilan,8/1/2020,overall,120.5
Negeri Sembilan,9/1/2020,overall,120.5
Negeri Sembilan,10/1/2020,overall,120.5
Negeri Sembilan,11/1/2020,overall,120.1
Negeri Sembilan,12/1/2020,overall,120.9
Negeri Sembilan,1/1/2021,overall,122.8
Negeri Sembilan,2/1/2021,overall,123.2
Negeri Sembilan,3/1/2021,overall,123.6
Negeri Sembilan,4/1/2021,overall,123.6
Negeri Sembilan,5/1/2021,overall,123.6
Negeri Sembilan,6/1/2021,overall,123.6
Negeri Sembilan,7/1/2021,overall,122.8
Negeri Sembilan,8/1/2021,overall,122.9
Negeri Sembilan,9/1/2021,overall,123.2
Negeri Sembilan,10/1/2021,overall,124.3
Negeri Sembilan,11/1/2021,overall,124.6
Negeri Sembilan,12/1/2021,overall,124.9
Negeri Sembilan,1/1/2022,overall,125
Negeri Sembilan,2/1/2022,overall,125.4
Negeri Sembilan,3/1/2022,overall,125.6
Negeri Sembilan,4/1/2022,overall,125.8
Negeri Sembilan,5/1/2022,overall,126.4
Negeri Sembilan,6/1/2022,overall,127.2
Negeri Sembilan,7/1/2022,overall,127.5
Negeri Sembilan,8/1/2022,overall,127.7
Negeri Sembilan,9/1/2022,overall,127.9
Negeri Sembilan,10/1/2022,overall,128.1
Negeri Sembilan,11/1/2022,overall,128.5
Negeri Sembilan,12/1/2022,overall,128.7
Negeri Sembilan,1/1/2023,overall,128.9
Negeri Sembilan,2/1/2023,overall,129.2
Negeri Sembilan,3/1/2023,overall,129.2
Negeri Sembilan,4/1/2023,overall,129.2
Negeri Sembilan,5/1/2023,overall,129.3
Negeri Sembilan,6/1/2023,overall,129.5
Negeri Sembilan,7/1/2023,overall,129.5
Negeri Sembilan,8/1/2023,overall,129.7
Negeri Sembilan,9/1/2023,overall,129.6
Negeri Sembilan,10/1/2023,overall,129.8
Negeri Sembilan,11/1/2023,overall,129.7
Negeri Sembilan,12/1/2023,overall,130
Negeri Sembilan,1/1/2024,overall,130.1
Negeri Sembilan,2/1/2024,overall,130.5
Negeri Sembilan,3/1/2024,overall,130.4
Negeri Sembilan,4/1/2024,overall,130.5
Negeri Sembilan,5/1/2024,overall,130.8
Negeri Sembilan,6/1/2024,overall,131.1
Negeri Sembilan,7/1/2024,overall,131.2
Negeri Sembilan,8/1/2024,overall,131.6
Negeri Sembilan,9/1/2024,overall,131.5
Negeri Sembilan,10/1/2024,overall,131.7
Negeri Sembilan,11/1/2024,overall,131.6
Negeri Sembilan,12/1/2024,overall,131.8
Negeri Sembilan,1/1/2025,overall,132.1
Negeri Sembilan,2/1/2025,overall,132.4
Negeri Sembilan,3/1/2025,overall,132.6
Negeri Sembilan,4/1/2025,overall,132.7
Negeri Sembilan,5/1/2025,overall,132.9
Negeri Sembilan,6/1/2025,overall,133.2
Negeri Sembilan,7/1/2025,overall,133.1
Negeri Sembilan,8/1/2025,overall,133.5
Negeri Sembilan,9/1/2025,overall,134
Negeri Sembilan,10/1/2025,overall,133.9
Negeri Sembilan,11/1/2025,overall,134.1
Negeri Sembilan,12/1/2025,overall,134.7
Negeri Sembilan,1/1/2026,overall,134.7
Negeri Sembilan,2/1/2026,overall,135
Negeri Sembilan,3/1/2026,overall,135.5
Pahang,1/1/2020,overall,120
Pahang,2/1/2020,overall,120.2
Pahang,3/1/2020,overall,118.6
Pahang,4/1/2020,overall,114.9
Pahang,5/1/2020,overall,115.2
Pahang,6/1/2020,overall,116.8
Pahang,7/1/2020,overall,117.5
