date,group,index,category,sub-category
1/2/2020,112,104.4,Restaurants & Accommodation,Accommodation services
1/2/2020,121,109.8,Miscellaneous Goods & Services,Insurance
1/2/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/2/2020,131,115.1,Other Services,Personal care
1/2/2020,132,123.3,Other Services,Other personal item
1/2/2020,133,129.6,Other Services,Social protection
1/2/2020,139,120.1,Other Services,Other services
1/3/2020,1,141.9,Food & Non-Alcoholic Beverages,Food away from home
1/3/2020,11,130.8,Food & Non-Alcoholic Beverages,Food at home
1/3/2020,12,113,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/3/2020,21,109,Alcohol & Tobacco,Alcoholic beverages
1/3/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/3/2020,31,96.2,Clothing & Footwear,Clothes
1/3/2020,32,82.5,Clothing & Footwear,Shoes
1/3/2020,41,126.9,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/3/2020,43,126.2,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/3/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/3/2020,45,107.4,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/3/2020,51,115.9,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/3/2020,52,92.2,Furnishings & Household Equipment,Household textiles
1/3/2020,53,105.8,Furnishings & Household Equipment,Household appliances
1/3/2020,54,108,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
1/3/2020,55,107.7,Furnishings & Household Equipment,Tools & equipment for house & garden
1/3/2020,56,125.4,Furnishings & Household Equipment,Goods & services for routine household maintenance
1/3/2020,61,119.6,Health,Medicines & health products
1/3/2020,62,140.2,Health,Outpatient care services
1/3/2020,63,120.2,Health,Inpatient care services
1/3/2020,64,116.5,Health,Others health services
1/3/2020,71,96.1,Transport,Purchase of vehicles
1/3/2020,72,105.2,Transport,Operation of personal transport equipment
1/3/2020,73,115.7,Transport,Passenger transport services
1/3/2020,74,,Transport,Transport services of goods
1/3/2020,81,58.6,Communication,Information & communication equipment
1/3/2020,83,102.4,Communication,Information & communication services
1/3/2020,92,102.2,Recreation & Culture,Other recreational goods
1/3/2020,93,115,Recreation & Culture,Garden products & pets
1/3/2020,94,120.9,Recreation & Culture,Recreational services
1/3/2020,95,102.4,Recreation & Culture,Cultural goods
1/3/2020,96,123.9,Recreation & Culture,Cultural services
1/3/2020,97,113.8,Recreation & Culture,Newspapers & periodicals
1/3/2020,98,130.5,Recreation & Culture,Package holidays
1/3/2020,101,125.6,Education,Pre primary & primary education
1/3/2020,102,118.4,Education,Secondary education
1/3/2020,103,114.7,Education,Post-secondary non-tertiary education
1/3/2020,104,114.9,Education,Tertiary education
1/3/2020,105,117,Education,Education not defined by level
1/3/2020,111,136.5,Restaurants & Accommodation,Food & beverage preparation services
1/3/2020,112,103.2,Restaurants & Accommodation,Accommodation services
1/3/2020,121,109.9,Miscellaneous Goods & Services,Insurance
1/3/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/3/2020,131,115.2,Other Services,Personal care
1/3/2020,132,126.1,Other Services,Other personal item
1/3/2020,133,129.6,Other Services,Social protection
1/3/2020,139,120,Other Services,Other services
1/4/2020,1,141.9,Food & Non-Alcoholic Beverages,Food away from home
1/4/2020,11,130.5,Food & Non-Alcoholic Beverages,Food at home
1/4/2020,12,112.1,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/4/2020,21,109,Alcohol & Tobacco,Alcoholic beverages
1/4/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/4/2020,31,96.2,Clothing & Footwear,Clothes
1/4/2020,32,82.5,Clothing & Footwear,Shoes
1/4/2020,41,126.9,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/4/2020,43,126.2,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/4/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/4/2020,45,76.8,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/4/2020,51,115.9,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/4/2020,52,92.2,Furnishings & Household Equipment,Household textiles
1/4/2020,53,105.8,Furnishings & Household Equipment,Household appliances
1/4/2020,54,108,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
1/4/2020,55,109.5,Furnishings & Household Equipment,Tools & equipment for house & garden
1/4/2020,56,124.2,Furnishings & Household Equipment,Goods & services for routine household maintenance
1/4/2020,61,119.6,Health,Medicines & health products
1/4/2020,62,140.2,Health,Outpatient care services
1/4/2020,63,120.2,Health,Inpatient care services
1/4/2020,64,116.5,Health,Others health services
1/4/2020,71,96.1,Transport,Purchase of vehicles
1/4/2020,72,87.9,Transport,Operation of personal transport equipment
1/4/2020,73,115.2,Transport,Passenger transport services
1/4/2020,74,,Transport,Transport services of goods
1/4/2020,81,58.6,Communication,Information & communication equipment
1/4/2020,83,102.4,Communication,Information & communication services
1/4/2020,92,102.1,Recreation & Culture,Other recreational goods
1/4/2020,93,114.9,Recreation & Culture,Garden products & pets
1/4/2020,94,120.9,Recreation & Culture,Recreational services
1/4/2020,95,102.4,Recreation & Culture,Cultural goods
1/4/2020,96,123.9,Recreation & Culture,Cultural services
1/4/2020,97,113.8,Recreation & Culture,Newspapers & periodicals
1/4/2020,98,130.5,Recreation & Culture,Package holidays
1/4/2020,101,125.4,Education,Pre primary & primary education
1/4/2020,102,118.3,Education,Secondary education
1/4/2020,103,114.7,Education,Post-secondary non-tertiary education
1/4/2020,104,114.9,Education,Tertiary education
1/4/2020,105,117,Education,Education not defined by level
1/4/2020,111,136.5,Restaurants & Accommodation,Food & beverage preparation services
1/4/2020,112,103.2,Restaurants & Accommodation,Accommodation services
1/4/2020,121,109.9,Miscellaneous Goods & Services,Insurance
1/4/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/4/2020,131,113.9,Other Services,Personal care
1/4/2020,132,129.2,Other Services,Other personal item
1/4/2020,133,128.3,Other Services,Social protection
1/4/2020,139,120,Other Services,Other services
1/5/2020,1,142.1,Food & Non-Alcoholic Beverages,Food away from home
1/5/2020,11,131.1,Food & Non-Alcoholic Beverages,Food at home
1/5/2020,12,112.5,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/5/2020,21,109.1,Alcohol & Tobacco,Alcoholic beverages
1/5/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/5/2020,31,96.2,Clothing & Footwear,Clothes
1/5/2020,32,82.5,Clothing & Footwear,Shoes
1/5/2020,41,126.8,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/5/2020,43,126.3,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/5/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/5/2020,45,76.8,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/5/2020,51,115.9,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/5/2020,52,92.2,Furnishings & Household Equipment,Household textiles
1/5/2020,53,106,Furnishings & Household Equipment,Household appliances
1/5/2020,54,107.9,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
1/5/2020,55,109.1,Furnishings & Household Equipment,Tools & equipment for house & garden
1/5/2020,56,123.8,Furnishings & Household Equipment,Goods & services for routine household maintenance
1/5/2020,61,119.6,Health,Medicines & health products
1/5/2020,62,140.1,Health,Outpatient care services
1/5/2020,63,120.3,Health,Inpatient care services
1/5/2020,64,116.5,Health,Others health services
1/5/2020,71,96.1,Transport,Purchase of vehicles
